Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Belarus,Central and Eastern Europe,67,5.569,1.157,1.445,0.638,0.295,0.156,0.155
Libya,Middle East and Northern Africa,68,5.525,1.102,1.358,0.52,0.466,0.093,0.152
Turkey,Middle East and Northern Africa,69,5.5,1.198,1.338,0.638,0.301,0.1,0.047
Paraguay,Latin America and Caribbean,70,5.493,0.933,1.507,0.579,0.474,0.091,0.224
"Hong Kong S.A.R., China",Southeastern Asia,71,5.472,1.552,1.263,0.943,0.491,0.294,0.374
Philippines,Southeastern Asia,72,5.43,0.858,1.254,0.468,0.585,0.099,0.194
Serbia,Central and Eastern Europe,73,5.395,1.069,1.258,0.651,0.209,0.041,0.22
Jordan,Middle East and Northern Africa,74,5.336,0.991,1.239,0.605,0.418,0.12,0.172
Hungary,Central and Eastern Europe,75,5.324,1.286,1.343,0.688,0.176,0.037,0.078
Jamaica,Latin America and Caribbean,76,5.311,0.926,1.368,0.641,0.474,0.055,0.234
Croatia,Central and Eastern Europe,77,5.293,1.223,0.968,0.701,0.256,0.043,0.248
Kosovo,Central and Eastern Europe,78,5.279,0.951,1.138,0.541,0.26,0.057,0.32
China,Eastern Asia,79,5.273,1.081,1.161,0.741,0.473,0.023,0.029
Pakistan,Southern Asia,80,5.269,0.727,0.673,0.402,0.235,0.124,0.315
Indonesia,Southeastern Asia,81,5.262,0.996,1.274,0.492,0.443,0.015,0.612
Venezuela,Latin America and Caribbean,82,5.25,1.128,1.431,0.617,0.154,0.064,0.065
Montenegro,Central and Eastern Europe,83,5.237,1.121,1.238,0.667,0.195,0.088,0.198
Morocco,Middle East and Northern Africa,84,5.235,0.878,0.775,0.598,0.408,0.088,0.032
Azerbaijan,Central and Eastern Europe,85,5.234,1.154,1.152,0.541,0.398,0.181,0.045
Dominican Republic,Latin America and Caribbean,86,5.23,1.079,1.402,0.575,0.553,0.114,0.187
Greece,Western Europe,87,5.227,1.289,1.239,0.81,0.096,0.043,0
Lebanon,Middle East and Northern Africa,88,5.225,1.075,1.13,0.735,0.289,0.038,0.264
Portugal,Western Europe,89,5.195,1.315,1.367,0.796,0.498,0.016,0.095
Bosnia and Herzegovina,Central and Eastern Europe,90,5.182,0.982,1.069,0.705,0.204,0,0.329
Honduras,Latin America and Caribbean,91,5.181,0.731,1.144,0.583,0.348,0.073,0.236
Macedonia,Central and Eastern Europe,92,5.175,1.065,1.208,0.645,0.326,0.06,0.254
Somalia,Sub-Saharan Africa,93,5.151,0.023,0.721,0.114,0.602,0.282,0.292
Vietnam,Southeastern Asia,94,5.074,0.789,1.277,0.652,0.571,0.088,0.235
Nigeria,Sub-Saharan Africa,95,5.074,0.784,1.216,0.057,0.395,0.026,0.231
Tajikistan,Central and Eastern Europe,96,5.041,0.525,1.271,0.529,0.472,0.146,0.249
Bhutan,Southern Asia,97,5.011,0.885,1.34,0.496,0.502,0.173,0.474
Kyrgyzstan,Central and Eastern Europe,98,5.004,0.596,1.394,0.553,0.455,0.039,0.429
Nepal,Southern Asia,99,4.962,0.48,1.179,0.504,0.44,0.073,0.394
Mongolia,Eastern Asia,100,4.955,1.027,1.493,0.558,0.394,0.033,0.338
South Africa,Sub-Saharan Africa,101,4.829,1.055,1.385,0.187,0.479,0.073,0.139
Tunisia,Middle East and Northern Africa,102,4.805,1.007,0.868,0.613,0.29,0.087,0.05
Palestinian Territories,Middle East and Northern Africa,103,4.775,0.716,1.156,0.566,0.255,0.089,0.114
Egypt,Middle East and Northern Africa,104,4.735,0.99,0.997,0.52,0.282,0.114,0.129
Bulgaria,Central and Eastern Europe,105,4.714,1.161,1.434,0.708,0.289,0.011,0.113
Sierra Leone,Sub-Saharan Africa,106,4.709,0.368,0.984,0.006,0.319,0.071,0.293
Cameroon,Sub-Saharan Africa,107,4.695,0.564,0.946,0.133,0.43,0.051,0.236
Iran,Middle East and Northern Africa,108,4.692,1.157,0.712,0.639,0.249,0.049,0.387
Albania,Central and Eastern Europe,109,4.644,0.996,0.804,0.731,0.381,0.04,0.201
Bangladesh,Southern Asia,110,4.608,0.587,0.735,0.533,0.478,0.124,0.172
Namibia,Sub-Saharan Africa,111,4.574,0.964,1.098,0.339,0.52,0.093,0.077
Kenya,Sub-Saharan Africa,112,4.553,0.56,1.068,0.31,0.453,0.065,0.445
Mozambique,Sub-Saharan Africa,113,4.55,0.234,0.871,0.107,0.481,0.179,0.322
Myanmar,Southeastern Asia,114,4.545,0.367,1.123,0.398,0.514,0.189,0.838
Senegal,Sub-Saharan Africa,115,4.535,0.479,1.18,0.409,0.378,0.115,0.183
Zambia,Sub-Saharan Africa,116,4.514,0.636,1.003,0.258,0.462,0.078,0.25
Iraq,Middle East and Northern Africa,117,4.497,1.103,0.979,0.501,0.289,0.107,0.2
Gabon,Sub-Saharan Africa,118,4.465,1.198,1.156,0.357,0.312,0.076,0.044
Ethiopia,Sub-Saharan Africa,119,4.46,0.339,0.865,0.353,0.409,0.165,0.313
Sri Lanka,Southern Asia,120,4.44,1.01,1.26,0.625,0.561,0.074,0.491
Armenia,Central and Eastern Europe,121,4.376,0.901,1.007,0.638,0.198,0.027,0.083
India,Southern Asia,122,4.315,0.792,0.754,0.455,0.47,0.092,0.232
Mauritania,Sub-Saharan Africa,123,4.292,0.648,1.272,0.285,0.096,0.137,0.202
Congo (Brazzaville),Sub-Saharan Africa,124,4.291,0.809,0.832,0.29,0.435,0.08,0.121
Georgia,Central and Eastern Europe,125,4.286,0.951,0.571,0.65,0.309,0.252,0.054
Congo (Kinshasa),Sub-Saharan Africa,126,4.28,0.092,1.229,0.191,0.236,0.06,0.246
Mali,Sub-Saharan Africa,127,4.19,0.476,1.281,0.169,0.307,0.105,0.183
Ivory Coast,Sub-Saharan Africa,128,4.18,0.603,0.905,0.049,0.448,0.13,0.201
Cambodia,Southeastern Asia,129,4.168,0.602,1.006,0.43,0.633,0.068,0.386
Sudan,Sub-Saharan Africa,130,4.139,0.66,1.214,0.291,0.015,0.09,0.182
Ghana,Sub-Saharan Africa,131,4.12,0.667,0.874,0.296,0.423,0.025,0.257
Ukraine,Central and Eastern Europe,132,4.096,0.895,1.395,0.576,0.123,0.023,0.27
Uganda,Sub-Saharan Africa,133,4.081,0.381,1.13,0.218,0.443,0.057,0.326
Burkina Faso,Sub-Saharan Africa,134,4.032,0.35,1.043,0.216,0.324,0.12,0.251
Niger,Sub-Saharan Africa,135,4.028,0.162,0.993,0.269,0.364,0.139,0.229
Malawi,Sub-Saharan Africa,136,3.97,0.233,0.513,0.315,0.467,0.073,0.287
Chad,Sub-Saharan Africa,137,3.936,0.438,0.954,0.041,0.162,0.054,0.216
Zimbabwe,Sub-Saharan Africa,138,3.875,0.376,1.083,0.197,0.336,0.095,0.189
Lesotho,Sub-Saharan Africa,139,3.808,0.521,1.19,0,0.391,0.119,0.157
Angola,Sub-Saharan Africa,140,3.795,0.858,1.104,0.05,0,0.07,0.098
Afghanistan,Southern Asia,141,3.794,0.401,0.582,0.181,0.106,0.061,0.312
Botswana,Sub-Saharan Africa,142,3.766,1.122,1.222,0.342,0.505,0.099,0.099
Benin,Sub-Saharan Africa,143,3.657,0.431,0.435,0.21,0.426,0.061,0.208
Madagascar,Sub-Saharan Africa,144,3.644,0.306,0.913,0.375,0.189,0.067,0.209
Haiti,Latin America and Caribbean,145,3.603,0.369,0.64,0.277,0.03,0.1,0.489
Yemen,Middle East and Northern Africa,146,3.593,0.592,0.935,0.31,0.249,0.057,0.104
South Sudan,Sub-Saharan Africa,147,3.591,0.397,0.601,0.163,0.147,0.117,0.286
Liberia,Sub-Saharan Africa,148,3.533,0.119,0.872,0.23,0.333,0.039,0.267
Guinea,Sub-Saharan Africa,149,3.507,0.245,0.791,0.194,0.349,0.111,0.265
Togo,Sub-Saharan Africa,150,3.495,0.305,0.432,0.247,0.38,0.096,0.197
Rwanda,Sub-Saharan Africa,151,3.471,0.369,0.946,0.326,0.582,0.455,0.253
Syria,Middle East and Northern Africa,152,3.462,0.777,0.396,0.501,0.082,0.151,0.494
Tanzania,Sub-Saharan Africa,153,3.349,0.511,1.042,0.365,0.39,0.066,0.354
Burundi,Sub-Saharan Africa,154,2.905,0.092,0.63,0.152,0.06,0.084,0.204
Central African Republic,Sub-Saharan Africa,155,2.693,0,0,0.019,0.271,0.057,0.281
